time,overlap,maxdim,real_ac,im_ac
0.0,1.0,4,1.0,0.0
0.006283185307179587,0.9999776413068285,4,0.9999154596464905,0.00440938104661499
0.012566370614359173,0.9998751016534835,4,0.9998426127475639,0.005793326516643615
0.01884955592153876,0.9994425298823918,4,0.999900810888105,0.002292589992157732
0.025132741228718346,0.9981033061818062,4,0.9995717775053266,-0.006092807951688973
0.031415926535897934,0.9953259001030966,4,0.9980331494906886,-0.017479726604018708
0.03769911184307752,0.9912770619585528,4,0.9952223196477635,-0.028804485710624526
0.04398229715025711,0.9869937738560864,4,0.992283937155685,-0.037064340352716184
0.05026548245743669,0.9837270991850969,4,0.9906794959581838,-0.04049522976966356
0.05654866776461628,0.9820338931521954,4,0.9908966302159928,-0.039159057754408685
0.06283185307179587,0.9814330862138393,4,0.992147215332511,-0.03487902518854569
0.06911503837897545,0.9807897910534266,4,0.9931978514661667,-0.03060119094610217
0.07539822368615504,0.9789019535519499,4,0.9932023807050058,-0.029287979789247638
0.08168140899333462,0.9748119165483392,4,0.9916784037984163,-0.03274777313605562
0.08796459430051422,0.9679741917246222,4,0.988152799701653,-0.04091944623239624
0.0942477796076938,0.9586222501607312,4,0.9824758260725882,-0.05188984159902144
0.10053096491487339,0.948109945243391,4,0.9756161459454321,-0.06267818666206912
0.10681415022205297,0.9385851109790881,4,0.9696725444715257,-0.07048246160140599
0.11309733552923255,0.9319073360184458,4,0.9666047866518936,-0.0737381924410591
0.11938052083641215,0.9285646075551752,4,0.9667972857739129,-0.07256398520521574
0.12566370614359174,0.9273883714955953,4,0.9688371931063195,-0.06866047814588584
0.13194689145077132,0.9261760248400606,4,0.9705893576310148,-0.06475761064849422
0.1382300767579509,0.9226685629121305,4,0.970378789800324,-0.06362010173181079
0.1445132620651305,0.9152874991521188,4,0.9672893706290623,-0.0669262473091633
0.15079644737231007,0.9035656427746789,4,0.960962235020889,-0.07456054745936262
0.15707963267948966,0.8884767071282459,4,0.9518433215961178,-0.08466911818324255
0.16336281798666924,0.8724376260436164,4,0.9417106609038366,-0.09448858521266525
0.16964600329384885,0.8585149654522315,4,0.9333267128979277,-0.10154037853913148
0.17592918860102844,0.8490123980047389,4,0.9289186107120903,-0.10452410107023456
0.18221237390820802,0.8443070523739266,4,0.9287077219626748,-0.103604363692207
0.1884955592153876,0.8426480357019904,4,0.930806927119441,-0.10028128189020465
0.1947787445225672,0.8409625445849719,4,0.9324874726300336,-0.09695034485678944
0.20106192982974677,0.8361376619946247,4,0.9315889773922744,-0.0960639468490168
0.20734511513692636,0.8261150208494314,4,0.9270071609046604,-0.09910584999698915
0.21362830044410594,0.8105441017368606,4,0.9185507690746271,-0.10591800057392294
0.21991148575128552,0.7910471552629224,4,0.9070856052817734,-0.11478705837923517
0.2261946710584651,0.7708870178814401,4,0.8948362702398993,-0.1232799151246636
0.2324778563656447,0.7537790452535097,4,0.8848136576596701,-0.1293359756520016
0.2387610416728243,0.7422711857067901,4,0.879220762330131,-0.13196165068755109
0.2450442269800039,0.7365993109065581,4,0.878076781971233,-0.13135258300590502
0.25132741228718347,0.7345852592157318,4,0.8792583448276465,-0.12874627041853012
0.25761059759436306,0.7325562717575568,4,0.8798681904513908,-0.1261145735726972
0.26389378290154264,0.7268190285741982,4,0.8777028040741328,-0.1255130429910253
0.2701769682087222,0.7150143168085801,4,0.8717589366878822,-0.12818651680894355
0.2764601535159018,0.6969338743615942,4,0.862043518340309,-0.1339499028494484
0.2827433388230814,0.6747006755685152,4,0.8495921879455789,-0.1412964278364023
0.289026524130261,0.652137748119784,4,0.8366214972658985,-0.14820474709930676
0.29530970943744056,0.6332914446471306,4,0.8259054192758393,-0.1530905654174059
0.30159289474462014,0.6207406638539492,4,0.8193085599394422,-0.1552846922931553
0.3078760800517997,0.6145643169243963,4,0.816634876310152,-0.1549962406245411
0.3141592653589793,0.6123446667439588,4,0.8158196690554282,-0.1531594785991798
0.3204424506661589,0.6101218739789317,4,0.8142829439793645,-0.15127011266868495
0.3267256359733385,0.6039356092968917,4,0.8102590720818043,-0.1509389800455544
0.33300882128051806,0.5913229806034916,4,0.8031386921176761,-0.15315057965957685
0.3392920065876977,0.572228325595171,4,0.7931305741579273,-0.15771018196261935
0.3455751918948773,0.5490884792067987,4,0.7811505605592185,-0.16336295870997825
0.35185837720205687,0.5259644257775119,4,0.7689223798334825,-0.16854331205793527
0.35814156250923646,0.506902774080048,4,0.7584922631306348,-0.17216138433707992
0.36442474781641604,0.4943095347274046,4,0.7510909420380121,-0.17386417588004655
0.3707079331235956,0.48810701130101863,4,0.7463221918067756,-0.17385608850442777
0.3769911184307752,0.48583748613348116,4,0.7424931927943572,-0.172752325367793
0.3832743037379548,0.48357513822054765,4,0.7378225784015195,-0.17156000487725204
0.3895574890451344,0.47741136517664534,4,0.7314364425483346,-0.17143641418713218
0.39584067435231396,0.4649732874337847,4,0.7233748903439098,-0.17310753946931334
0.40212385965949354,0.4463523093415077,4,0.714024562433701,-0.1763863039051001
0.4084070449666731,0.42409440893201844,4,0.7038924006509216,-0.1802915728600458
0.4146902302738527,0.402175288202346,4,0.6937607911370627,-0.18371806216592637
0.4209734155810323,0.3843337502472156,4,0.6845183679901068,-0.18604872095643793
0.4272566008882119,0.3726299664305231,4,0.6765251746041654,-0.18721483041456638
0.43353978619539146,0.366845510579892,4,0.6692265193574376,-0.18739929391991159
0.43982297150257105,0.36467253962280466,4,0.6615912410311638,-0.1869078052017964
0.44610615680975063,0.3625140084149012,4,0.6530479033439572,-0.18628559941762002
